,mse_DA,time,nobs,modes
0,0.21220536812379737,0.03761708979703942,1024,4
1,0.21567244177007405,0.03597390165134352,128,4
2,0.21121326850515793,0.5744285206405484,131072,4
3,0.21092116202857195,0.10285662631599271,16384,4
4,0.2621496057502947,0.03594152294859594,16,4
5,0.4067509396139626,0.0381485467054406,1,4
6,0.21117597206076788,0.03941402751572278,2048,4
7,0.21115427047584068,1.0256265900572952,247520,4
8,0.21309836025053347,0.03600686545274696,256,4
9,0.3478542629239588,0.03539361272539411,2,4
10,0.21106814438437607,0.16984801754659537,32768,4
11,0.22400860365184583,0.03586035601946772,32,4
12,0.21116543885252922,0.0437558828567972,4096,4
13,0.34735071284841257,0.035994911680416186,4,4
14,0.21286947629701428,0.03682683681955143,512,4
15,0.21693975981167996,0.036299766326437194,64,4
16,0.2112088844956859,0.3026434426404992,65536,4
17,0.21091206436129856,0.06784417677898796,8192,4
18,0.3698659507390874,0.035695010302018146,8,4
19,0.14087144262995235,0.044435564352541555,1024,32
20,0.171307900323964,0.043885642168473224,128,32
21,0.12714490882856347,1.1414466670581274,131072,32
22,0.12780421332591524,0.19332672625171896,16384,32
23,0.19555766768287555,0.04145206967178656,16,32
24,0.40625144654434486,0.0382893511227199,1,32
25,0.1349580669614188,0.04780251152661382,2048,32
27,0.16497868050029557,0.04210409582877646,256,32
28,0.3608910967731509,0.03846373363417022,2,32
29,0.12669868527350997,0.30502948104118816,32768,32
30,0.17649173173883806,0.0422030504868955,32,32
31,0.13125032174681495,0.05748411830590696,4096,32
32,0.2699081934484994,0.039579683420609454,4,32
33,0.1537884985643786,0.04327333095122357,512,32
34,0.1726807644437603,0.0430757391209505,64,32
35,0.12695189118073877,0.6159631293647143,65536,32
36,0.12887837615966097,0.10419580401206503,8192,32
37,0.2362033236301119,0.03977264920059515,8,32
38,0.11651096679306305,0.04398730093119096,1024,791
39,0.14248646959598998,0.045623076205350915,128,791
40,0.09199495652798231,1.4337637716410112,131072,791
41,0.09363750905358662,0.23432873463144108,16384,791
42,0.19015549799254827,0.0413165493887298,16,791
43,0.40623100118218725,0.038689957589519264,1,791
44,0.10599861989962774,0.05119894840279404,2048,791
45,0.09131729271516509,2.838200996116716,247520,791
46,0.1403442258266337,0.041099363443802814,256,791
47,0.3620174803098482,0.041613561766488213,2,791
48,0.09077462901358671,0.4166760359491621,32768,791
49,0.16490122891014286,0.04384423518667416,32,791
50,0.10069632318847663,0.06753607185519471,4096,791
51,0.2708100909939246,0.0397554806300572,4,791
52,0.12830281070011257,0.04228124448231289,512,791
53,0.14746543753420477,0.0457520241640052,64,791
54,0.09119490413821355,0.774130396696986,65536,791
55,0.09547658385517672,0.13510499195176728,8192,791
56,0.23451364808265407,0.04174032381602696,8,791
