,mse_DA,time,nobs,modes
1,0.10612028870441653,0.04656189193530959,2475,100
2,0.1543682097690618,1.4753493970754195,247520,12
3,0.15685943270965488,0.042674056121281216,2475,12
4,0.09131176851379912,2.516797873438621,247520,150
5,0.10481084739830461,0.04701869098507628,2475,150
6,0.1484768243150136,1.6127860339320437,247520,16
7,0.1517274796131848,0.042725893915915976,2475,16
8,0.3859028292834182,0.3221023046240515,247520,1
9,0.3858766920205214,0.0365266532314067,2475,1
10,0.09131713012504525,2.484671491749433,247520,250
11,0.10471544155500125,0.04888961388140309,2475,250
12,0.2390676687174637,0.693457116886061,247520,2
13,0.23904697614596074,0.03772264597367267,2475,2
14,0.12709434940444914,1.859682597676102,247520,32
15,0.13338063904670994,0.04436107679289215,2475,32
16,0.09130699699001614,2.5226740593812904,247520,350
17,0.10469189144547673,0.04901462306781691,2475,350
18,0.09131002222419533,2.478464799267905,247520,450
19,0.1046870454119369,0.047518741111366114,2475,450
20,0.21115427047584068,1.0213113414997956,247520,4
21,0.21109737226531383,0.03957583709638946,2475,4
22,0.0913143716453708,2.503192183922748,247520,550
23,0.10469646621169018,0.048154118109722525,2475,550
24,0.1048934519552884,2.1941667527568582,247520,60
25,0.1150187921313841,0.046398376931949536,2475,60
26,0.0913274897618814,2.4904263019561768,247520,700
27,0.10473979090696567,0.047879594929364264,2475,700
28,0.09131729271516509,2.5009284360068187,247520,791
29,0.10463007485063298,0.04813203033135862,2475,791
30,0.1802397344550169,1.3037249068824612,247520,8
31,0.18112579829156675,0.04155841408943643,2475,8
32,0.09427375656615228,0.3060760218269971,24750,100
33,0.1545323998358416,0.22791085802778907,24750,12
34,0.09235991293793665,0.31164257988637806,24750,150
35,0.1487045573955411,0.2105199743290337,24750,16
36,0.3858830736438876,0.07151568179227868,24750,1
37,0.09230156492303127,0.3207370127950396,24750,250
38,0.23904627338608378,0.1078380188163446,24750,2
40,0.09227994055327106,0.3254731078537143,24750,350
41,0.09227292770424025,0.3238532664824505,24750,450
42,0.21101780212217894,0.16864386383368044,24750,4
43,0.09229267021379363,0.31971186642744104,24750,550
44,0.10481500873519686,0.2963459868820346,24750,60
45,0.09228350572882224,0.3198574708432567,24750,700
46,0.0922940547021082,0.3181617101844476,24750,791
47,0.18010641480256995,0.17585972985442805,24750,8
